Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,97.7699966430664,99.76000213623047,95.0199966430664,97.9800033569336,86.77166748046875,1700931
2022-06-10,96.7300033569336,98.7300033569336,95.0260009765625,98.16999816894531,86.9399185180664,1416645
2022-06-13,95.01000213623047,96.12680053710938,91.41999816894531,93.37000274658203,82.68901824951172,1965709
2022-06-14,95.73999786376953,96.44999694824219,86.79000091552734,87.6500015258789,77.62335205078125,3469327
2022-06-15,87.98999786376953,91.05000305175781,86.43000030517578,88.25,78.15471649169922,2266976
2022-06-16,86.16000366210938,87.8541030883789,83.63999938964844,84.3499984741211,74.70086669921875,2482522
2022-06-17,83.2300033569336,84.4000015258789,78.0,80.27999877929688,71.096435546875,4944621
2022-06-21,82.80000305175781,85.08999633789062,82.33499908447266,83.55000305175781,73.99236297607422,2634193
2022-06-22,80.22000122070312,85.5,79.16000366210938,82.79000091552734,73.31929779052734,2686101
2022-06-23,83.55999755859375,83.75,75.0199966430664,76.33999633789062,67.60714721679688,4052010
2022-06-24,77.19000244140625,83.91999816894531,76.01000213623047,83.80000305175781,74.21377563476562,15768296
2022-06-27,84.2699966430664,86.31999969482422,82.66000366210938,85.19999694824219,75.45362091064453,3779434
2022-06-28,88.82499694824219,90.16000366210938,87.31999969482422,88.63999938964844,78.50011444091797,2818934
2022-06-29,90.16000366210938,90.67350006103516,86.63999938964844,87.01000213623047,77.05657196044922,1914737
2022-06-30,85.0,87.72000122070312,80.2300033569336,81.0999984741211,71.8226318359375,2436001
2022-07-01,81.69000244140625,83.4000015258789,79.9749984741211,82.9000015258789,73.4167251586914,1197287
2022-07-05,80.06999969482422,80.58000183105469,75.0199966430664,76.70999908447266,67.9348373413086,2875671
2022-07-06,76.45999908447266,77.70999908447266,72.5,74.33999633789062,65.8359375,3079016
2022-07-07,76.80999755859375,79.25499725341797,76.58000183105469,78.5,69.52005004882812,2027683
2022-07-08,79.27999877929688,80.26499938964844,77.75,78.44999694824219,69.47576904296875,1166059
2022-07-11,78.62000274658203,80.66000366210938,77.83000183105469,79.22000122070312,70.15770721435547,1205797
2022-07-12,76.61000061035156,79.37000274658203,76.52100372314453,78.69999694824219,69.69718170166016,1792773
2022-07-13,78.1500015258789,84.33999633789062,78.1500015258789,82.58000183105469,73.13333892822266,1916262
2022-07-14,79.29000091552734,80.44550323486328,75.2249984741211,79.0,69.96286010742188,2460615
2022-07-15,81.31999969482422,83.20999908447266,78.80000305175781,83.18000030517578,73.66470336914062,1539012
2022-07-18,85.88999938964844,87.98999786376953,85.5199966430664,86.72000122070312,76.79972839355469,1695579
2022-07-19,86.2300033569336,88.68000030517578,85.81999969482422,88.62999725341797,78.49124145507812,1690357
2022-07-20,87.5,92.0,86.88999938964844,91.86000061035156,81.35174560546875,2953840
2022-07-21,88.0,91.1500015258789,87.83000183105469,91.05999755859375,80.64328002929688,2198158
2022-07-22,90.86000061035156,92.5199966430664,89.63999938964844,89.75,79.48311614990234,991706
2022-07-25,90.94000244140625,93.20999908447266,89.94000244140625,92.30999755859375,81.75027465820312,1595061
2022-07-26,94.37999725341797,94.55000305175781,92.12999725341797,92.19000244140625,81.64401245117188,1625317
2022-07-27,92.05000305175781,93.0,90.5000991821289,92.38999938964844,81.82112121582031,1868941
2022-07-28,93.31999969482422,93.88999938964844,90.23999786376953,92.88999938964844,82.2639389038086,1401702
2022-07-29,93.52999877929688,94.7886962890625,93.0999984741211,94.16999816894531,83.39749908447266,1328983
2022-08-01,92.19000244140625,92.19000244140625,88.41999816894531,90.41999816894531,80.07647705078125,1701101
2022-08-02,90.33000183105469,91.20999908447266,88.62999725341797,90.25,79.92594146728516,1824511
2022-08-03,92.66999816894531,95.36499786376953,87.80999755859375,91.52999877929688,81.05950927734375,4381360
2022-08-04,90.70999908447266,91.73999786376953,87.56999969482422,88.0199966430664,77.9510269165039,3536606
2022-08-05,87.16999816894531,92.58000183105469,86.5,92.0,81.47573852539062,1694847
2022-08-08,91.86000061035156,94.04000091552734,91.7074966430664,92.80999755859375,82.19308471679688,1501478
2022-08-09,94.5,96.8499984741211,94.19000244140625,94.62999725341797,83.80488586425781,2863180
2022-08-10,94.4000015258789,94.6500015258789,91.52999877929688,94.0,83.24695587158203,1572428
2022-08-11,96.5,97.3499984741211,94.31999969482422,97.30999755859375,86.17831420898438,5400902
2022-08-12,97.22000122070312,98.41000366210938,96.06999969482422,98.20999908447266,86.97535705566406,2534821
2022-08-15,95.05999755859375,96.72000122070312,92.5,95.9000015258789,84.92960357666016,1990483
2022-08-16,95.05000305175781,97.5999984741211,93.88999938964844,97.0,88.03346252441406,3395606
2022-08-17,97.37000274658203,98.91500091552734,96.2300033569336,98.33000183105469,89.24052429199219,2159437
2022-08-18,99.0,102.29000091552734,99.0,102.25,92.79815673828125,2559630
2022-08-19,100.09500122070312,100.2699966430664,96.33000183105469,96.33000183105469,87.42539978027344,3748047
2022-08-22,97.94999694824219,100.33999633789062,94.97000122070312,100.16000366210938,90.9013671875,2639333
